index,millisecond,imageBound_x,imageBound_y,imageBound_width,imageBound_height,center_x,center_y,imagePoint_x,imagePoint_y,zoom,interval
318,100631,241,320,127,74,305,357,299,370,6.5389558861268,218
319,100827,229,310,152,89,305,355,297,369,6.5389558861268,196
320,101016,229,310,152,89,305,355,296,367,5.49276755493481,189
321,101295,216,298,182,106,307,351,298,377,5.49276755493481,279
322,101487,216,298,182,106,307,351,293,366,4.55183287826492,192
323,101739,201,284,219,128,311,348,301,371,4.55183287826492,252
324,101923,201,284,219,128,311,348,292,367,3.79606555751231,184
325,102133,183,268,262,153,314,345,296,367,3.79606555751231,210
326,102350,183,268,262,153,314,345,294,368,3.19437010325542,217
327,102630,160,248,315,184,318,340,297,367,3.19437010325542,280
328,102892,160,248,315,184,318,340,283,371,2.63744177695635,262
329,103139,136,224,378,220,325,334,296,366,2.63744177695635,247
330,103337,136,224,378,220,325,334,285,375,2.20806527796505,198
331,103625,106,193,453,264,333,325,300,366,2.20806527796505,288
332,103821,106,193,453,264,333,325,286,378,1.8307112427459,196
333,104037,70,157,544,317,342,316,314,360,1.8307112427459,216
334,104247,70,157,544,317,342,316,286,379,1.5552,210
335,104446,27,112,653,381,354,303,286,378,1.5552,199
336,104669,27,112,653,381,354,303,283,385,1.5552,223
337,104866,27,112,653,381,354,303,297,345,1.5552,197
338,105066,27,112,653,381,354,303,309,349,1.5552,200
339,105336,27,112,653,381,354,303,351,355,1.5552,270
340,105617,27,112,653,381,354,303,341,339,1.5552,281
341,106513,27,112,653,381,354,303,325,329,1.5552,896
342,106783,-30,22,653,381,297,213,325,329,1.5552,270
343,107001,-30,22,653,381,297,213,326,331,1.5552,218
344,107195,-30,22,653,381,297,213,328,332,1.5552,194
345,107387,-30,22,653,381,297,213,338,326,1.5552,192
346,107591,-30,22,653,381,297,213,344,326,1.5552,204
347,107793,-30,22,653,381,297,213,351,219,1.5552,202
348,108360,-30,22,653,381,297,213,86,132,1.5552,567
349,108613,-30,22,653,381,297,213,83,129,1.5552,253
350,108830,-30,22,653,381,297,213,83,147,1.5552,217
351,109027,-30,22,653,381,297,213,103,189,1.5552,197
352,109256,-22,98,653,381,305,289,103,189,1.5552,229
353,109459,-22,98,653,381,305,289,97,186,1.5552,203
